1|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|798.00|200.00|598.00|CASH|600.00|2.00|2025-12-20T03:01:57.7366144
2|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|798.00|40.00|758.00|SCAN|758.00|0.00|2025-12-20T03:02:44.1472202
3|A3|คุณพัชรพล ลาภชุ่มศรี|0812345678|399.00|0.00|399.00|SCAN|399.00|0.00|2025-12-20T03:03:12.677602
4|A3|ลูกค้าทั่วไป||300.00|0.00|300.00|SCAN|300.00|0.00|2025-12-21T00:14:44.1355722
5|A2|ลูกค้าทั่วไป||299.00|0.00|299.00|SCAN|299.00|0.00|2025-12-21T00:15:53.9496541
6|A4|ลูกค้าทั่วไป||300.00|0.00|300.00|SCAN|300.00|0.00|2025-12-21T00:16:01.7448009
7|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|300.00|15.00|285.00|CASH|290.00|5.00|2025-12-21T13:28:40.9136732
8|A2|ลูกค้าทั่วไป||300.00|0.00|300.00|CREDIT|300.00|0.00|2025-12-21T13:29:25.3338019
9|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|15.00|284.00|SCAN|284.00|0.00|2025-12-21T13:47:23.7391384
10|A2|คุณวรัญญา ผูกจิตร|0614512662|199.00|30.00|169.00|CASH|225.00|56.00|2025-12-21T13:47:31.8380433
11|A3|ลูกค้าทั่วไป||199.00|0.00|199.00|CREDIT|199.00|0.00|2025-12-21T13:47:39.8307114
12|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|0.00|598.00|SCAN|598.00|0.00|2025-12-21T14:00:24.7424796
13|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|0.00|598.00|CASH|600.00|2.00|2025-12-21T14:30:54.7137899
14|A2|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|240.00|358.00|CASH|400.00|42.00|2026-01-02T02:30:02.8977848
15|A1|ลูกค้าทั่วไป||598.00|0.00|598.00|SCAN|598.00|0.00|2026-01-02T02:30:29.4492478
16|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|240.00|358.00|SCAN|358.00|0.00|2026-01-02T20:12:51.6610489
17|A2|ลูกค้าทั่วไป||398.00|0.00|398.00|SCAN|398.00|0.00|2026-01-02T20:12:58.2007248
18|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|199.00|0.00|199.00|CASH|400.00|201.00|2026-01-03T00:31:40.2665869
19|A2|คุณวรัญญา ผูกจิตร|0614512662|199.00|0.00|199.00|CASH|200.00|1.00|2026-01-03T00:37:26.0273329
20|A1|ลูกค้าทั่วไป||199.00|0.00|199.00|CASH|200.00|1.00|2026-01-03T00:38:03.2094875
21|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|0.00|299.00|CASH|300.00|1.00|2026-01-03T00:39:25.7360389
22|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|0.00|299.00|SCAN|299.00|0.00|2026-01-03T00:40:37.7952888
23|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|199.00|0.00|199.00|CASH|200.00|1.00|2026-01-03T00:41:01.6677945
24|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|398.00|0.00|398.00|CASH|400.00|2.00|2026-01-03T00:41:27.4036593
25|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|0.00|598.00|CASH|600.00|2.00|2026-01-03T00:42:47.7911986
26|A1|คุณวรัญญา ผูกจิตร|0614512662|398.00|0.00|398.00|CASH|400.00|2.00|2026-01-03T00:46:09.3752747
27|A2|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|0.00|299.00|SCAN|299.00|0.00|2026-01-03T00:46:28.8369641
28|A1|ลูกค้าทั่วไป||199.00|0.00|199.00|CASH|200.00|1.00|2026-01-03T00:46:50.1083238
29|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|0.00|299.00|CASH|300.00|1.00|2026-01-03T00:48:15.4316306
30|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|0.00|598.00|CASH|600.00|2.00|2026-01-03T00:50:18.1258281
31|A1|ลูกค้าทั่วไป||299.00|0.00|299.00|SCAN|299.00|0.00|2026-01-03T00:50:48.0209539
32|A1|ลูกค้าทั่วไป||199.00|0.00|199.00|CASH|200.00|1.00|2026-01-03T00:51:22.5009841
33|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|299.00|0.00|299.00|SCAN|299.00|0.00|2026-01-03T00:51:33.7621353
34|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|150.00|448.00|CASH|500.00|52.00|2026-01-10T14:37:16.0125795
35|A1|คุณพัชรพล ลาภชุ่มศรี|0812345678|598.00|0.00|598.00|CASH|600.00|2.00|2026-01-10T16:50:24.5511788
36|A2|ลูกค้าทั่วไป||398.00|0.00|398.00|CASH|400.00|2.00|2026-01-10T16:50:30.5967985
