1|0812345678|ส่วนลด 5%|500|2025-12-17T22:08:06.7439528
2|0614512662|ส่วนลด 100บาท|1000|2025-12-18T21:28:26.1922025
3|0614512662|ส่วนลด 5%|500|2025-12-18T21:37:00.764024
4|0614512662|ส่วนลด 100บาท|1000|2025-12-18T21:37:06.8840157
5|0614512662|ส่วนลด 200 บาท|2000|2025-12-19T02:34:18.0903279
6|0812345678|ส่วนลด 100บาท|1000|2025-12-19T02:40:50.9739352
7|0614512662|ส่วนลด 100บาท|1000|2025-12-19T13:06:13.1521654
8|0614512662|ส่วนลด 5%|500|2025-12-19T13:07:01.5340817
9|0812345678|ส่วนลด 200 บาท|2000|2025-12-19T15:47:15.6773578
10|0614512662|ส่วนลด 100บาท|1000|2025-12-19T16:22:29.0739074
11|0812345678|ส่วนลด 5%|500|2025-12-19T22:37:02.9847834
12|0812345678|ส่วนลด 200 บาท|2000|2025-12-20T02:38:28.7539869
13|0812345678|ส่วนลด 5%|500|2025-12-20T02:38:52.469273
14|0812345678|ส่วนลด 5%|500|2025-12-20T02:40:30.4881742
15|0812345678|ส่วนลด 100บาท|1000|2025-12-20T02:40:49.1207249
16|0812345678|ส่วนลด 5%|500|2025-12-20T02:56:17.2395672
17|0812345678|ส่วนลด 200 บาท|2000|2025-12-20T03:01:23.4104829
18|0812345678|ส่วนลด 5%|500|2025-12-20T03:02:20.1554774
19|0812345678|ส่วนลด 5%|500|2025-12-21T13:28:24.5744875
20|0812345678|ส่วนลด 5%|500|2025-12-21T13:31:56.6006669
21|0614512662|ส่วนลด 15%|1500|2025-12-21T13:33:04.614573
22|0812345678|ส่วนลด 200 บาท|2000|2026-01-02T02:29:11.6714373
23|0812345678|ส่วนลด 10%|1000|2026-01-02T02:29:38.4710835
24|0812345678|ส่วนลด 10%|1000|2026-01-02T03:02:16.1067408
25|0812345678|ส่วนลด 200 บาท|2000|2026-01-02T03:02:19.4028748
26|0812345678|ส่วนลด 10%|1000|2026-01-03T21:55:02.3601851
27|0812345678|ส่วนลด 100บาท|1000|2026-01-03T21:55:05.8315773
